name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
state bank of india,,india,,,,,"245,642",vinay m tonse,,,,,,,,,,,,,
relx,,uk,,,,,"33,500",erik engstrom,,,,,,,,,,,,,
xiaomi corporation,,china,,,,,"33,427",lei jun,,,,,,,,,,,,,
macquarie group,,australia,,,,,"17,209",shemara wikramanayake,,,,,,,,,,,,,
illumina,,usa,,,,,"7,800",francis desouza,,,,,,,,,,,,,
autodesk,,usa,,,,,"11,500",andrew anagnost,,,,,,,,,,,,,
lonza group,,switzerland,,,,,"16,218",pierre-alain ruffieux,,,,,,,,,,,,,
anz banking group,,australia,,,,,"37,506",shayne elliott,,,,,,,,,,,,,
eog resources,,usa,,,,,"2,800",ezra yacob,,,,,,,,,,,,,
china telecom corporation,,china,,,,,"281,192",jie yang,,,,,,,,,,,,,
westpac banking corporation,,australia,,,,,"40,143",peter king,,,,,,,,,,,,,
