name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
dollar general corporation,"goodlettsville,tn,unitedstates",united states,, october 1939," 163,000",todd j vasos,,54300000000,,,consumer staples,,
american international group inc,"newyork,ny,unitedstates",united states,," december 19, 1919"," 36,600",peter salvatore zaffino,,54310000000,,,financials,,
marathon petroleum corporation,"findlay,oh,unitedstates",united states,," november 9, 2009"," 17,700",michael j hennigan,,54540000000,,,energy,,
canadian pacific railway limited,"calgary,ab,canada",canada,, 16 february 1881," 11,834",keith e creel,,54590000000,,,industrials,,
ambev sa,"saopaulo,sp,brazil",brazil,,," 53,000",jean jereissati neto,,54690000000,,,consumer staples,,
heineken nv,"amsterdam,netherlands",netherlands,,," 81,070",rudolf gijsbert servaas van den brink,,54870000000,,,consumer staples,,
softbank group corp,"tokyo,japan",japan,,," 58,786",masayoshi son,,54930000000,,,communication services,,
ergo science corp,"northandover,ma,unitedstates",united states,,,,,,55230000000,,,industrials,,
keurig pepper inc,"burlington,ma,unitedstates",united states,, 1981," 27,500",robert j gamgort,,55280000000,,,consumer staples,,
chugai pharmaceutical co ltd,"tokyo,japan",japan,,," 7,664",osamu okuda,,55310000000,,,healthcare,,
daikin industriesltd,"osaka,japan",japan,,," 84,870",masanori togawa,,55580000000,,,industrials,,
national grid plc,"london,unitedkingdom",united kingdom,, 1990," 23,683",,,55880000000,,,utilities,,
zijin mining group co ltd,"longyan,china",china,,," 43,876",,,43930000000,,,basic materials,,
wipro limited,"bengaluru,india",india,, 29 december 1945," 220,000",thierry delaporte,,43980000000,,,technology,,
samsung biologics coltd,"incheon,southkorea",south korea,,," 3,247",john chongbo rim,,44010000000,,,healthcare,,
sumitomo mitsui financial group inc,"tokyo,japan",japan,," june 6, 1996"," 86,800",jun ohta,,44060000000,,,financials,,
chipotle mexican grill inc,"newportbeach,ca,unitedstates",united states,," july 13, 1993"," 97,660",brian r niccol,,44110000000,,,consumer discretionary,,
cadence design systeinc,"sanjose,ca,unitedstates",united states,, 1988," 9,300",anirudh devgan phd,,44230000000,,,technology,,
cintas corporation,"cincinnati,oh,unitedstates",united states,, 1929," 40,000",todd m schneider,,44320000000,,,industrials,,
iqvia holdings inc,"durham,nc,unitedstates",united states,, 1982," 79,000",ari bousbib,,44320000000,,,healthcare,,
autozone inc,"memphis,tn,unitedstates",united states,," july 4, 1979"," 65,100",william c rhodes iii,,44390000000,,,consumer discretionary,,
te connectivity ltd,"schaffhausen,switzerland",switzerland,, 2007," 85,000",terrence r curtin cpa,,44780000000,,,technology,,
intesa sanpaolo spa,"turin,to,italy",italy,,," 78,000",carlo messina,,44950000000,,,financials,,
pjsc lukoil,"moscow,russia",russia,,," 101,374",vagit yusufovich alekperov,,44960000000,,,energy,,
saudi arabian mining company,"riyadh,saudiarabia",saudi arabia,,,,robert g wilt,,45000000000,,,basic materials,,
mitsui & co ltd,"tokyo,japan",japan,,," 44,509",kenichi hori,,45090000000,,,energy,,
datadog inc,"newyork,ny,unitedstates",united states,, 2010," 3,200",olivier pomel,,45130000000,,,technology,,
constellation brands inc,"victor,ny,unitedstates",united states,, 1945," 9,300",william a newlands,,45210000000,,,consumer staples,,
infineon technologies ag,"munich,germany",germany,,," 50,280",reinhard ploss,,45350000000,,,technology,,
