name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
zott se & co kg,mertingen,,,,1926,"2,983",,,,foods and beverages,,,,,,private
dalli-werke gmbh & co kg,stolberg,,,,1851,"1,897",,,,consumer products,,,,,,private
wepa industrieholding se,arnsberg,,,,1948,"2,900",,,,consumer products,,,,,,private
willmar schwabe gmbh & co kg,karlsruhe,,,,1866,"3,600",,,,pharmaceuticals and life sciences,,,,,,private
harry-brot gmbh,schenefeld,,,,1688,"5,500",,,,foods and beverages,,,,,,private
franz-josef rothkotter gmbh & co kg,meppen,,,,1959,"2,473",,,,foods and beverages,,,,,,private
eckes ag,nieder-olm,,,,1857,"1,747",,,,foods and beverages,,,,,,private
max aicher group,freila ing,,,,1924,"4,000",,,,industrial manufacturing,,,,,,private
wika alexander wiegand se & co kg,klingenberg,,,,1946,"10,000",,,,technology,,,,,,private
nobilia holding gmbh,verl,,,,1945,"2,914",,,,consumer products,,,,,,private
dennree gmbh,topen,,,,1974,"5,530",,,,consumer products,,,,,,private
kaeser kompre oren se,coburg,,,,1919,"6,000",,,,industrial manufacturing,,,,,,private
meggle ag,wa erburg am inn,,,,1887,"2,383",,,,foods and beverages,,,,,,private
getreide ag,hamburg,,,,1882,376,,,,consumer products,,,,,,private
wolff & muller holding gmbh & co kg,stuttgart,,,,1936,"2,000",,,,industrial manufacturing,,,,,,private
hall tabakwaren ek,monchengladbach,,,,1903,451,,,,retail,,,,,,private
wago holding gmbh,minden,,,,1951,"8,649",,,,technology,,,,,,private
i k hofmann gmbh,nurnberg,,,,1985,"25,000",,,,profe ional services,,,,,,private
borgers group,bocholt,,,,1866,"7,200",,,,automotive,,,,,,private
beumer group gmbh & co kg,beckum,,,,1935,"4,500",,,,industrial manufacturing,,,,,,private
hellweg die profi-baumarkte gmbh & co kg,dortmund,,,,1971,"4,600",,,,retail,,,,,,private
big dutchman aktiengeselischaft,vechta,,,,1938,"3,268",,,,industrial manufacturing,,,,,,private
beckhoff automation group,verl,,,,1980,"4,300",,,,technology,,,,,,private
ferchau holding gmbh & co kg,gummersbach,,,,1966,"9,500",,,,financial services,,,,,,private
cd walzholz kg,hagen,,,,1829,"2,073",,,,industrial manufacturing,,,,,,private
fahrzeug-werke lueg ag,bochum,,,,1868,"1,400",,,,profe ional services,,,,,,private
windmoller & holscher kg,lengerich,,,,1869,"2,950",,,,industrial manufacturing,,,,,,private
ifm electronic gmbh,e en,,,,1969,"5,949",,,,technology,,,,,,private
group gmbh,ismaning,,,,1980,"6,849",,,,technology,,,,,,private
albert handtmann holding verwaltungs-gmbh,biberach an der rib,,,,1873,"3,700",,,,profe ional services,,,,,,private
apetito ag,rheine,,,,1958,"9,418",,,,profe ional services,,,,,,private
gerry weber international ag,halle,,,,1973,"6,900",,,,consumer products,,,,,,public
fischer holding gmbh & co kg,waldachtal,,,,1948,"5,200",,,,industrial manufacturing,,,,,,private
klingele papierwerke gmbh & co kg,remshalden,,,,1920,"2,500",,,,industrial manufacturing,,,,,,private
vo loh ag,werdohl,,,,1888,"3,925",,,,industrial manufacturing,,,,,,public
huber group,kirchheim,,,,1765,"3,500",,,,industrial manufacturing,,,,,,private
ehrmann ag,oberschonegg,,,,1920,"2,600",,,,foods and beverages,,,,,,private
c & a veltins gmbh & co kg,meschede-grevenstein,,,,1824,"1,545",,,,foods and beverages,,,,,,private
leonhard kurz stiftung & co kg,furth,,,,1899,"5,113",,,,industrial manufacturing,,,,,,private
friedrich scharr kg,stuttgart,,,,1883,624,,,,energy and utilities,,,,,,private
rei er ag,boblingen,,,,1871,"1,557",,,,industrial manufacturing,,,,,,private
thalia bucher gmbh,hagen,,,,1919,"5,060",,,,retail,,,,,,private
rauch gmbh & co kg,freudenberg,,,,1879,"1,600",,,,consumer products,,,,,,private
schon holding gmbh & co kg,prien am chiemsee,,,,1985,"10,600",,,,healthcare,,,,,,private
lindner group kg,arnstorf,,,,1965,"6,622",,,,industrial manufacturing,,,,,,private
bos gmbh & co kg,ostfildern,,,,1910,"8,000",,,,automotive,,,,,,private
weidmuller holding ag & co kgaa,detmold,,,,1850,"4,900",,,,technology,,,,,,private
persona service ag & co kg,ludenscheid,,,,1967,"19,000",,,,profe ional services,,,,,,private
villeroy & boch ag,mettlach,,,,1748,"7,461",,,,industrial manufacturing,,,,,,public
bericap capital gmbh & co kg,budenheim,,,,1926,"3,650",,,,industrial manufacturing,,,,,,private
ernst dello gmbh & co kg,hamburg,,,,1898,"1,700",,,,retail,,,,,,private
notebooksbilligerde,sarstedt,,,,1989,398,,,,retail,,,,,,private
koehler holding gmbh & co kg,oberkirch,,,,1807,"1,915",,,,industrial manufacturing,,,,,,private
kluh service management gmbh,du eldorf,,,,1911,"50,000",,,,profe ional services,,,,,,private
hans segmuller polstermobelfabrik gmbh & co kg,friedberg,,,,1925,"3,522",,,,consumer products,,,,,,private
autohaus glinicke gmbh,ka el,,,,1930,"1,600",,,,retail,,,,,,private
bruder schlau gmbh & co kg,porta westfalica,,,,1921,"6,464",,,,retail,,,,,,private
printus-group,offenburg,,,,1977,"1,600",,,,profe ional services,,,,,,private
lenze se,aerzen,,,,1947,"3,613",,,,industrial manufacturing,,,,,,private
kamax holding gmbh & co kg,homberg,,,,1935,"3,310",,,,automotive,,,,,,private
schorghuber stiftung & co holding kg,munchen,,,,1954,"2,707",,,,industrial manufacturing,,,,,,private
rational ag,landsberg am lech,,,,1973,"2,166",,,,industrial manufacturing,,,,,,public
hahn automobil-holding gmbh,fellbach,,,,1919,"1,800",,,,retail,,,,,,private
bitzer se,sindelfingen,,,,1934,"3,500",,,,industrial manufacturing,,,,,,private
schwenk zement kg,ulm,,,,1847,"3,073",,,,industrial manufacturing,,,,,,private
grillo-werke ag,duisburg,,,,1842,"1,423",,,,industrial manufacturing,,,,,,private
krombacher brauerei bernhard schadeberg gmbh & co kg,kreuztal,,,,1803,997,,,,foods and beverages,,,,,,private
autohaus jacob fleischhauer gmbh & co kg,koln,,,,1924,"1,150",,,,retail,,,,,,private
